,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
1710,7415,692,A,150000,100,,,,,,,,,42.1,A,19,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,692,A,150000,100,6485,Default
317,1765,549,C,35000,100,,,,,,,,,8.67,A,23,,Home,A,N,,0,A,0,A,,,1.333333333,B,30,A,37469.66667,A,6512,A,0.17,A,0,A,0,A,0,A,1,A,37469.66667,,standard,,549,C,35000,100,1694,Default
1491,4813,606,A,150000,100,,,,,,,,,2.07,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,606,A,150000,100,4642,Paid off with renewal
270,1174,627,A,150000,100,,,,,,,,,17.23,A,5,,Verified,A,N,,0,A,0,A,,,1.666666667,B,19,A,100579,A,8862.5,A,0.09,A,0,A,0,A,0,A,1,A,100579,,capped,,627,A,150000,100,836,Default
1152,2183,581,B,100000,33,541,C,35000,33,,,,,2.38,A,55,,Verified,A,N,,0,A,0,A,,,3.666666667,C,77.33333333,A,44091,A,945,D,0.02,A,0,A,0,A,0,A,0,A,44091,,preferred,,561,B,100000,66,2187,Paid in full
67,238,640,A,150000,100,,,,,,,,,7.72,A,,,Verified,,N,,0,A,0,A,,,0,A,21,A,22481.5,A,682,D,0.03,A,0,A,0,A,0,A,1,A,22481.5,,preferred,,640,A,150000,,228,Paid via discounted payoff
1337,3364,738,A,150000,100,,,,,,,,,32.54,A,31,,Home,A,N,,0,A,0,A,,,0,A,7.25,R,218328.75,A,59458,A,0.27,A,0,A,0,A,0,A,0,A,218328.75,,capped,,738,A,150000,100,3505,Default
1563,4886,609,A,150000,100,,,,,,,,,4.95,A,4,,Verified,A,N,,0,A,0,A,,,0,A,91.5,A,150277.01,A,61899.5,A,0.41,A,0,A,0,A,0,A,1,A,150277.01,,preferred,,609,A,150000,100,4618,Paid in full
1879,8509,561,C,35000,100,,,,,,,,,1.69,B,1,,Verified,A,N,,0,A,0,A,,,1,A,73.5,A,262169.8333,A,15578.16667,A,0.06,A,0,A,0,A,0,A,2,C,262169.8333,,preferred,,561,C,35000,100,7256,Default
245,1153,652,A,150000,100,,,,,,,,,5.6,A,16,,Verified,A,N,,0,A,0,A,,,4.6,D,6,R,78797,A,8246.4,A,0.1,A,0,A,0,A,0,A,0,A,78797,,preferred,,652,A,150000,100,1103,Paid in full
1572,6010,635,A,150000,100,,,,,,,,,4.09,A,45,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,635,A,150000,100,5428,Paid in full
